"Date","Price","Open","High","Low","Change %"
"Jan 14, 2022","4,007.26","3,967.40","4,017.51","3,954.01","1.00%"
"Jan 13, 2022","3,967.40","3,974.51","3,979.03","3,941.45","-0.18%"
"Jan 12, 2022","3,974.51","3,991.90","3,992.99","3,961.66","-0.44%"
"Jan 11, 2022","3,991.90","4,051.06","4,051.06","3,990.65","-1.46%"
"Jan 10, 2022","4,051.06","4,051.06","4,051.06","4,047.01","0.00%"
"Jan 07, 2022","4,051.06","4,034.51","4,059.98","4,024.01","0.41%"
"Jan 06, 2022","4,034.51","4,026.09","4,065.59","4,022.84","0.22%"
"Jan 05, 2022","4,025.50","4,080.20","4,080.20","4,014.00","-1.34%"
"Jan 04, 2022","4,080.20","4,070.00","4,091.50","4,065.93","0.25%"
"Jan 03, 2022","4,070.00","4,068.81","4,105.50","4,034.81","0.00%"
