Date;Price;Open;High;Low;Change %;Date;Dia;Año;mes;Fecha1;Fecha
Jul 22 2022;4453.25;4426.55;4470.83;4407.34;0.0087;July;22;2022;7;2022-07-22;22/07/2022
Jul 25 2022;4456.05;4465;4484.75;4426.13;0.0006;July;25;2022;7;2022-07-25;25/07/2022
Jul 26 2022;4433.29;4467.8;4471.5;4412.93;-0.0051;July;26;2022;7;2022-07-26;26/07/2022
Jul 27 2022;4415.6;4444;4445.17;4404.1;-0.004;July;27;2022;7;2022-07-27;27/07/2022
Jul 28 2022;4361.6;4425;4427.01;4349.8;-0.0122;July;28;2022;7;2022-07-28;28/07/2022
Jul 29 2022;4277.6;4371;4377.35;4238.5;-0.0193;July;29;2022;7;2022-07-29;29/07/2022
Aug 01 2022;4259.33;4287;4293.57;4220.01;-0.0043;August;1;2022;8;2022-08-1;1/08/2022
Aug 02 2022;4307.46;4259.33;4327.88;4259.33;0.0113;August;2;2022;8;2022-08-2;2/08/2022
Aug 03 2022;4296.2;4324;4357;4304.1;-0.0043;August;3;2022;8;2022-08-3;3/08/2022
Aug 04 2022;4285.6;4305.6;4322.06;4245.2;-0.0025;August;4;2022;8;2022-08-4;4/08/2022
Aug 05 2022;4335.7;4295;4360;4295;0.0117;August;5;2022;8;2022-08-5;5/08/2022
Aug 08 2022;4312.24;4345.1;4345.1;4297;-0.0054;August;8;2022;8;2022-08-8;8/08/2022
Aug 09 2022;4337;4312.24;4353.26;4282.25;0.0057;August;9;2022;8;2022-08-9;9/08/2022
Aug 10 2022;4272.34;4337;4352.06;4258.11;-0.0149;August;10;2022;8;2022-08-10;10/08/2022
Aug 11 2022;4233;4272.34;4272.35;4223;-0.0092;August;11;2022;8;2022-08-11;11/08/2022
Aug 12 2022;4156.13;4231;4232.22;4154.44;-0.0163;August;12;2022;8;2022-08-12;12/08/2022
Aug 16 2022;4239.33;4161.67;4254.45;4155.01;0.0198;August;16;2022;8;2022-08-16;16/08/2022
Aug 17 2022;4344.55;4239.33;4349;4234.39;0.0248;August;17;2022;8;2022-08-17;17/08/2022
Aug 15 2022;4157.13;4162;4170;4155.52;0.0002;August;15;2022;8;2022-08-15;19/08/2022
